ID,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
26,362,330,280,260,270,210,240,240,270,250.8,312.8,330.2,345.2,355.3,370.8,340.2,152.3,150.3,180.3,135.3,80.3,95.3,58.3,0,70.3,60.2,135.8,160.3,150.7,165.9,185.6,170.4,200.7,120.8,95.2,140.6,130.9,170.3
27,225,180,160,150,150,120,110,140,160,110.3,145.3,162.3,180.4,195,205.9,170.3,87.5,85.2,95.4,80.6,40.6,45.8,40.2,70.3,0,55.2,120.3,145.6,135.2,150.4,165.9,155.7,180.2,98.4,68.9,125.4,110.6,145.8
28,253,220,140,130,140,110,130,120,140,157.7,188.7,205.6,222.6,240.6,245.2,220.9,63.6,15,90.6,95.8,25.8,40.5,25.9,60.2,55.2,0,115.3,140.6,125.2,130.4,155.9,145.7,170.2,85.4,55.8,110.7,95.3,135.6
29,170,160,120,110,120,70,80,100,120,91.2,141.6,158.7,175.6,183.2,195.3,140.6,145.8,155.6,160.3,155.4,120.4,120.9,125.3,135.8,120.3,115.3,0,95.6,15.2,20.4,110.7,45.3,135.9,75.8,50.6,120.3,110.8,150.2
30,59.7,120,110,100,110,90,90,110,130,83.5,47.6,56.7,67.8,92.1,103.4,70.2,178.4,175,190.5,190.3,150.2,145.7,145.8,160.3,145.6,140.6,95.6,0,80.4,85.6,50.3,90.7,60.2,110.9,95.4,150.6,140.2,170.8
31,150,180,170,160,170,130,140,160,170,112.3,128.4,137.3,145.4,158.3,162.9,120.7,150.9,140.2,170.2,175.7,135.6,130.1,135.2,150.7,135.2,125.2,15.2,80.4,0,10.2,95.3,35.6,120.4,85.7,60.3,140.8,130.5,160.2
32,170,190,180,170,180,140,150,170,180,123.7,139.2,148.5,156.8,168.9,172.6,130.5,160.6,150.6,180.6,180.9,140.8,140.5,140.6,165.9,150.4,130.4,20.4,85.6,10.2,0,90.4,30.6,115.4,80.3,55.2,130.7,120.3,150.9
33,50,140,140,130,130,100,110,130,140,102.8,65.2,73.4,81.5,105,112.3,90.4,185.7,160.8,200.8,200.4,160.3,160.7,165.4,185.6,165.9,155.9,110.7,50.3,95.3,90.4,0,65.2,80.3,95.7,70.6,120.4,110.9,140.5
34,125,170,150,140,140,110,120,140,150,98.6,111.6,118.6,125.7,149.5,158.6,135.8,172.9,175.3,180.4,185.2,145.1,145.6,150.3,170.4,155.7,145.7,45.3,90.7,35.6,30.6,65.2,0,75.3,90.7,65.5,115.8,105.6,135.4
35,150,200,190,180,180,150,160,180,190,151.4,123.9,131.5,142.3,168.2,175.9,150.9,210.4,195.6,210.6,220.5,170.4,170.8,180.7,200.7,180.2,170.2,135.9,60.2,120.4,115.4,80.3,75.3,0,105.4,80.2,130.5,120.9,150.7
36,270,270,200,190,200,160,180,200,200,210.9,185.3,196.4,210.7,227.4,235.2,210.4,130.5,90.5,120.5,130.6,90.2,95.2,98.4,120.8,98.4,85.4,75.8,110.9,85.7,80.3,95.7,90.7,105.4,0,40.2,90.6,80.7,110.3
37,152,260,190,180,190,150,160,180,190,202.1,200.2,211.3,225.3,240.6,247.4,230.2,100.7,60.3,90.8,100.3,60.7,65.7,68.9,95.2,68.9,55.8,50.6,95.4,60.3,55.2,70.6,65.5,80.2,40.2,0,70.5,60.4,95.8
38,210,220,130,120,110,80,70,90,100,245.3,260.3,270.5,285.4,300.8,305.6,250.6,120.3,120.4,150.7,160.8,120.3,125.3,128.5,140.6,125.4,110.7,120.3,150.6,140.8,130.7,120.4,115.8,130.5,90.6,70.5,0,20.3,50.7
39,220,230,140,130,120,90,80,100,110,230,250,260,275,290,295,240,115,110.8,140.2,150.2,110.8,115.8,120.9,130.9,110.6,95.3,110.8,140.2,130.5,120.3,110.9,105.6,120.9,80.7,60.4,20.3,0,40.5
40,220,250,90,80,90,140,130,70,90,210,270,280,295,310,310,260,125,140.7,170.6,180.7,140.2,145.2,150.4,170.3,145.8,135.6,150.2,170.8,160.2,150.9,140.5,135.4,150.7,110.3,95.8,50.7,40.5,0
